,Subject,Session,Sum of Too Early,Sum of Lapses,Sum of Too Fast,Sum of False Starts,Sum of Rejected Trials,Average Reaction Time,Average Speed,Standard Deviation
0,104,1,1,14,0,1,14,367.0379746835443,2.8254545867903365,69.06062796056118
0,104,2,2,25,1,3,26,381.1666666666667,2.7019471142089455,61.901306891468735
0,104,3,1,22,0,1,22,378.8142857142857,2.69060387214224,51.896020024756595
0,104,4,2,36,0,2,36,360.57142857142856,2.838938119036981,55.48262861402727
0,104,5,1,15,0,1,15,379.6835443037975,2.703260744454757,58.706035225453974
0,104,6,0,9,0,0,9,343.4235294117647,2.992689639237427,58.46577681707076
0,105,1,0,0,0,0,0,265.340206185567,3.8722056400160128,46.7288023684577
0,105,2,0,3,0,0,3,286.7802197802198,3.5814043774818147,50.28160746078082
0,105,3,1,0,0,1,0,250.65263157894736,4.144153450168357,55.938752300695505
0,105,4,0,1,0,0,1,276.8191489361702,3.7578297999500125,59.61452568280806
0,105,5,0,0,0,0,0,255.77894736842106,4.033408759014373,48.10519920309592
0,105,6,0,1,0,0,1,255.69473684210527,4.029541693916615,48.906352910263124
0,106,1,1,1,0,1,1,269.18947368421055,3.8167984685025664,48.252283539137515
0,106,2,6,0,0,6,0,283.6145833333333,3.633173207762796,47.050112095994145
0,106,3,7,1,0,7,1,298.14736842105265,3.4194202007444736,41.99011241796645
0,106,4,1,2,0,1,2,262.36046511627904,3.9067205841410044,45.90012502628049
0,106,5,6,2,0,6,2,297.13829787234044,3.4917653991611677,58.65748970205661
0,106,6,2,2,0,2,2,303.5217391304348,3.4335508210547796,63.97758506186977
0,107,1,4,1,0,4,1,288.0416666666667,3.642585273557654,65.39642943201211
0,107,2,2,2,0,2,2,321.9032258064516,3.2258218232590936,62.07867807943209
0,107,3,5,7,0,5,7,323.2988505747126,3.173422820589417,52.57444664971686
0,107,4,7,6,0,7,6,336.4431818181818,3.1101018923514867,72.4267141218991
0,107,5,6,14,0,6,14,367.7125,2.853965466982661,75.96821349765517
0,107,6,33,16,1,34,17,348.8181818181818,3.0136879163019135,75.87120792097329
0,109,1,1,2,0,1,2,289.96774193548384,3.5697444132304827,55.2662432571526
0,109,2,2,4,0,2,4,340.68888888888887,3.030810771562133,61.13507690323979
0,109,3,0,12,0,0,12,402.9878048780488,2.532339033209294,54.93576358846646
0,109,4,0,13,0,0,13,350.7560975609756,2.9493886507272093,64.63259143760972
0,109,5,2,7,0,2,7,356.2808988764045,2.8792209452166215,57.498021460830394
0,109,6,2,10,0,2,10,402.21176470588233,2.520272236341615,45.92776266871163
0,110,1,0,0,0,0,0,271.5729166666667,3.7606417903839735,41.12106510797155
0,110,2,3,5,0,3,5,318.2637362637363,3.244052642196449,59.62192645976911
0,110,3,6,13,0,6,13,337.4938271604938,3.0479458525320635,57.20601442523114
0,110,4,5,11,1,6,12,313.2926829268293,3.283412259520052,54.64825521140917
0,110,5,1,23,0,1,23,339.9577464788732,3.024610943613206,57.749072131004425
0,110,6,0,4,0,0,4,320.07608695652175,3.186003713065162,44.519469427950305
0,113,1,2,9,0,2,9,344.1162790697674,3.006683725565689,61.99324794441468
0,113,2,2,13,0,2,13,345.0740740740741,3.015628729626056,69.23524712488896
0,113,3,2,12,0,2,12,357.4320987654321,2.881831545049237,60.055170108743546
0,113,4,11,19,0,11,19,403.81333333333333,2.568432165783423,62.75212784877935
0,113,5,0,20,0,0,20,371.5890410958904,2.7749297294782114,63.964581261915384
0,113,6,2,12,0,2,12,374.6585365853659,2.7273804442964646,54.137506569706964
0,114,1,0,0,0,0,0,278.6736842105263,3.662913360647118,43.78463786395795
0,114,2,0,2,0,0,2,308.4148936170213,3.3239974069730023,53.446065583283556
0,114,3,1,3,0,1,3,322.0430107526882,3.1813633647765887,52.027566685216655
0,114,4,1,7,0,1,7,331.11494252873564,3.104400888524891,56.36249480493384
0,114,5,0,1,0,0,1,297.36842105263156,3.4475434278643555,51.41840316122833
0,114,6,0,1,0,0,1,289.33684210526314,3.5313649806763565,46.52878553689784
0,116,1,4,2,1,5,3,316.53846153846155,3.340893385695679,70.21827993910729
0,116,2,2,2,0,2,2,312.1304347826087,3.30035802815008,55.024912917397046
0,116,3,13,1,1,14,2,311.01063829787233,3.3374530263580295,62.894773819306664
0,116,4,1,2,0,1,2,317.1847826086956,3.2621346221815437,61.91698258894125
0,116,5,4,3,0,4,3,321.38709677419354,3.208568759176821,53.74517819789178
0,116,6,1,9,0,1,9,379.0357142857143,2.7128082484428213,60.722248642540734
0,118,1,1,0,0,1,0,288.1595744680851,3.5941321940837216,56.44624489953106
0,118,2,2,2,0,2,2,324.9021739130435,3.208963278152189,63.49959933811622
0,118,3,4,2,0,4,2,321.4347826086956,3.2670974891578357,68.93001775934684
0,118,4,1,8,0,1,8,324.8941176470588,3.3173590923887346,88.17501853448869
0,118,5,0,12,0,0,12,360.26190476190476,2.855292352785876,60.09853736921167
0,118,6,1,15,0,1,15,364.4805194805195,2.8646954269628537,73.24141954228287
0,119,1,3,39,0,3,39,372.47169811320754,2.7868337679662227,68.9307355175036
0,119,2,6,22,1,6,23,378.34285714285716,2.814548208191599,75.61321978471211
0,119,3,8,24,2,8,26,366.42424242424244,2.955573525787825,79.37507080186992
0,119,4,17,2,6,18,8,288.3333333333333,3.7325742285893675,74.20629113094694
0,119,5,40,2,15,43,17,275.20512820512823,4.176349177864235,89.06649478249659
0,119,6,54,1,25,61,26,230.9718309859155,4.826290302145552,75.20713716719519
0,124,1,2,2,0,2,2,291.25274725274727,3.5253657907780593,50.80585998716496
0,124,2,1,0,0,1,0,263.84375,3.877404930673491,41.27859853929662
0,124,3,2,2,0,2,2,291.1914893617021,3.528097833855606,50.98013034733305
0,124,4,3,0,0,3,0,289.71875,3.5551070438814016,54.22986225804299
0,124,5,3,2,0,3,2,266.60869565217394,3.8294631538888746,40.54083723844719
0,124,6,2,0,0,2,0,280.125,3.660653084644443,46.95356048379359
0,125,1,9,14,0,9,14,334.6625,3.1228512362881973,70.64171388426479
0,125,2,2,15,0,2,15,360.35897435897436,2.88154833662636,69.05803589020123
0,125,3,38,20,2,40,22,312.2647058823529,3.464391420291964,81.96533989857129
0,125,4,22,25,0,22,25,297.2923076923077,3.549411301712651,73.21601666407321
0,125,5,13,36,2,15,38,352.5813953488372,3.0032795796385585,73.57252093072442
0,125,6,17,46,0,17,46,345.57894736842104,3.0035006248254645,64.4886881255877
0,126,1,4,3,0,4,3,287.44086021505376,3.637524980775381,65.31736275687236
0,126,2,0,3,0,0,3,294.9130434782609,3.553594355678121,69.07435906865399
0,126,3,0,4,0,0,4,275.6847826086956,3.7608994892087995,56.85955888165118
0,126,4,5,6,1,5,7,291.39325842696627,3.6622192899097414,71.20690370921145
0,126,5,3,8,0,3,8,288.85057471264366,3.6172068190141333,63.5462711356635
0,126,6,12,11,2,12,13,300.22222222222223,3.6409928875355546,87.66741127693916
0,128,1,5,23,1,6,24,376.05882352941177,2.7293655906992313,57.59531551041727
0,128,2,6,25,0,6,25,376.4375,2.741549434779087,65.26645629617343
0,128,3,19,29,0,19,29,372.5967741935484,2.8158974271959436,76.827133969801
0,128,4,11,27,1,11,28,377.984126984127,2.7445892737949347,67.75394097893616
0,128,5,7,46,0,7,46,391.85714285714283,2.6056225813860228,57.28209227357269
0,128,6,6,4,0,6,4,345.5108695652174,3.047404832552276,70.60484286929746
0,129,1,1,5,0,1,5,295.77777777777777,3.601465201597199,77.5282156361498
0,129,2,2,1,0,2,1,256.9148936170213,4.0723687292736965,57.94744737704538
0,129,3,3,4,0,3,4,260.75531914893617,4.038118711300228,62.134555026906504
0,131,1,3,0,0,3,0,263.5,3.9013867327833913,47.800022021576076
0,131,2,2,1,0,2,1,266.06315789473683,3.868164034252736,47.40854813986738
0,131,3,0,1,0,0,1,287.468085106383,3.5853058021051583,52.78230848273759
0,134,1,2,4,0,2,4,295.95604395604397,3.538939848622005,66.593945685427
0,134,2,1,3,0,1,3,270.8709677419355,3.834798616605672,55.30866466564505
0,134,3,2,1,0,2,1,278.625,3.7391823910106603,58.97300899117904
0,135,1,0,1,0,0,1,287.60215053763443,3.5948907348827075,59.208023065501166
0,135,2,1,1,0,1,1,295.8404255319149,3.448788949235802,43.10534811802493
0,135,3,0,1,0,0,1,319.0842105263158,3.203223960942659,49.115076152716306
0,135,4,0,1,0,0,1,308.6063829787234,3.322433292167561,50.09350784993965
0,135,5,0,3,0,0,3,332.55434782608694,3.0836794337579634,54.08913362675605
0,135,6,0,8,0,0,8,330.8953488372093,3.0925005033270767,50.476326208668745
0,136,1,1,1,0,1,1,246.58510638297872,4.230912386776633,57.68777839191775
0,136,2,4,1,0,4,1,240.7157894736842,4.368950369410271,58.99038204294179
0,136,3,4,1,0,4,1,226.66315789473686,4.551225105877939,45.001089945740105
0,138,1,6,4,0,6,4,260.1868131868132,4.02602375034121,61.59868542751579
0,138,2,5,2,0,5,2,262.7157894736842,3.970462240109057,57.97645581519603
0,138,3,2,12,0,2,12,324.1463414634146,3.2416578019197115,72.14100081642577
0,138,4,3,17,0,3,17,339.23376623376623,3.1070464977309684,77.68541421451955
0,138,5,0,4,0,0,4,301.04395604395603,3.473922003162094,65.16865505711777
0,138,6,3,8,0,3,8,349.8488372093023,2.972413460786572,67.78556456457298
